Date mutation,Valeur Fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Section,No plan,Type local,Surface reelle bati,Nombre pieces principales
23/04/2018 00:00,197500,7,RUE,1440,DES POMMERETS,92310,SEVRES,92,72,AN,635,Appartement,35,2
04/05/2018 00:00,193000,68,RUE,230,DU COL DE ROCHEBRUNE,92380,GARCHES,92,33,AB,478,Appartement,42,2
02/05/2018 00:00,312000,46,RUE,410,DE SEVRES,92410,VILLE-D'AVRAY,92,77,AD,377,Appartement,65,2
17/05/2018 00:00,460000,57,RUE,9130,DES TILLEULS,92100,BOULOGNE-BILLANCOURT,92,12,L,119,Appartement,44,2
26/04/2018 00:00,255000,39,RUE,50,D'AGUESSEAU,92100,BOULOGNE-BILLANCOURT,92,12,M,62,Appartement,35,2
03/05/2018 00:00,250000,54,RUE,4140,GEORGES SOREL,92100,BOULOGNE-BILLANCOURT,92,12,AO,88,Appartement,36,2
15/05/2018 00:00,370000,8,RUE,671,BERANGER,92100,BOULOGNE-BILLANCOURT,92,12,AF,77,Appartement,37,2
09/05/2018 00:00,152000,17,RUE,1440,DE L YSER,92210,SAINT-CLOUD,92,64,AD,287,Appartement,27,2
17/05/2018 00:00,190000,31,RUE,120,DE L AVRE,92210,SAINT-CLOUD,92,64,AM,51,Appartement,45,2
31/05/2018 00:00,200000,3,RUE,10,ALBERT 1ER,92210,SAINT-CLOUD,92,64,AE,85,Appartement,33,2
25/05/2018 00:00,459100,42,RUE,3150,EMILE LANDRIN,92100,BOULOGNE-BILLANCOURT,92,12,AR,40,Appartement,56,2
11/06/2018 00:00,435000,255,RUE,4110,GALLIENI,92100,BOULOGNE-BILLANCOURT,92,12,AH,45,Appartement,57,2
19/06/2018 00:00,425000,11,RUE,3525,DE LA FERME,92100,BOULOGNE-BILLANCOURT,92,12,AV,129,Appartement,51,2
06/06/2018 00:00,255000,19,RUE,671,BERANGER,92100,BOULOGNE-BILLANCOURT,92,12,AF,20,Appartement,32,2
13/06/2018 00:00,354500,4,RUE,2560,DES VERTUGADINS,92190,MEUDON,92,48,AO,19,Appartement,43,2
06/07/2018 00:00,165000,11,RUE,680,LEON GAMBETTA,92370,CHAVILLE,92,22,AK,433,Appartement,31,2
26/06/2018 00:00,304000,72,RUE,310,DU DOCTEUR DEBAT,92380,GARCHES,92,33,AB,449,Appartement,62,2
29/06/2018 00:00,275000,7,RUE,560,PROFESSEUR V PAUCHET,92420,VAUCRESSON,92,76,AI,179,Appartement,27,2
02/07/2018 00:00,436600,44,RUE,7232,DU POINT DU JOUR,92100,BOULOGNE-BILLANCOURT,92,12,BO,54,Appartement,59,2
06/07/2018 00:00,259000,59,RUE,3536,FESSART,92100,BOULOGNE-BILLANCOURT,92,12,P,148,Appartement,36,2
12/07/2018 00:00,224000,35,RUE,651,DE BELLEVUE,92100,BOULOGNE-BILLANCOURT,92,12,AD,112,Appartement,31,2
16/07/2018 00:00,270000,48,RUE,8120,REINHARDT,92100,BOULOGNE-BILLANCOURT,92,12,AM,94,Appartement,36,2
24/07/2018 00:00,357550,19,RUE,100,ARMENGAUD,92210,SAINT-CLOUD,92,64,AK,74,Appartement,41,2
13/07/2018 00:00,439000,14,RUE,640,DE LA BELLE FEUILLE,92100,BOULOGNE-BILLANCOURT,92,12,Y,154,Appartement,50,2
27/07/2018 00:00,365400,184,RUE,712,DE BILLANCOURT,92100,BOULOGNE-BILLANCOURT,92,12,AN,50,Appartement,43,2
20/07/2018 00:00,212000,75,RUE,6147,MARCEL DASSAULT,92100,BOULOGNE-BILLANCOURT,92,12,BM,4,Appartement,25,2
19/07/2018 00:00,235000,1,RUE,1440,DE L YSER,92210,SAINT-CLOUD,92,64,AD,287,Appartement,50,2
09/08/2018 00:00,406300,44,RUE,7232,DU POINT DU JOUR,92100,BOULOGNE-BILLANCOURT,92,12,BO,54,Appartement,52,2
26/07/2018 00:00,225000,30,RUE,520,CROIX BOSSET,92310,SEVRES,92,72,AO,63,Appartement,43,2
31/07/2018 00:00,220000,20,RUE,9190,TRAVERSIERE,92100,BOULOGNE-BILLANCOURT,92,12,BH,111,Appartement,38,2
02/08/2018 00:00,388150,60,RUE,3180,ESCUDIER,92100,BOULOGNE-BILLANCOURT,92,12,P,185,Appartement,45,2
02/08/2018 00:00,240000,18,RUE,4430,HEINRICH,92100,BOULOGNE-BILLANCOURT,92,12,BG,64,Appartement,36,2
27/08/2018 00:00,225600,2,RUE,2570,DIAZ,92100,BOULOGNE-BILLANCOURT,92,12,AM,54,Appartement,28,2
28/08/2018 00:00,367500,59,RUE,7195,DES PEUPLIERS,92100,BOULOGNE-BILLANCOURT,92,12,BO,65,Appartement,30,2
30/08/2018 00:00,173000,41,RUE,1415,CARNOT,92100,BOULOGNE-BILLANCOURT,92,12,AP,55,Appartement,17,2
03/09/2018 00:00,265900,53,RUE,4140,GEORGES SOREL,92100,BOULOGNE-BILLANCOURT,92,12,AO,117,Appartement,30,2
07/09/2018 00:00,370000,27,RUE,3185,DE L EST,92100,BOULOGNE-BILLANCOURT,92,12,O,29,Appartement,43,2
31/08/2018 00:00,238398,49,RUE,4140,GEORGES SOREL,92100,BOULOGNE-BILLANCOURT,92,12,AO,117,Appartement,32,2
27/08/2018 00:00,306800,60,RUE,1870,DE PARIS,92190,MEUDON,92,48,AL,155,Appartement,46,2
10/09/2018 00:00,315000,17,RUE,825,MARIE BONAPARTE,92210,SAINT-CLOUD,92,64,AL,38,Appartement,45,2
13/09/2018 00:00,266550,2,RUE,200,DE L EGLISE,92420,VAUCRESSON,92,76,AL,106,Appartement,60,2
06/09/2018 00:00,250000,44,RUE,7195,DES PEUPLIERS,92100,BOULOGNE-BILLANCOURT,92,12,BO,31,Appartement,34,2
04/09/2018 00:00,420540,67,RUE,651,DE BELLEVUE,92100,BOULOGNE-BILLANCOURT,92,12,AD,81,Appartement,46,2
14/09/2018 00:00,381950,23,RUE,130,ANNA JACQUIN,92100,BOULOGNE-BILLANCOURT,92,12,C,29,Appartement,45,2
21/09/2018 00:00,244000,61,RUE,2170,DE LA REPUBLIQUE,92190,MEUDON,92,48,AP,89,Appartement,44,2
19/09/2018 00:00,196000,9,RUE,1080,DES GRIMETTES,92190,MEUDON,92,48,AP,409,Appartement,39,2
19/09/2018 00:00,203000,109,RUE,651,DE BELLEVUE,92100,BOULOGNE-BILLANCOURT,92,12,AL,66,Appartement,30,2
24/09/2018 00:00,460000,11,RUE,3525,DE LA FERME,92100,BOULOGNE-BILLANCOURT,92,12,AV,129,Appartement,51,2
10/09/2018 00:00,170000,14,RUE,9120,THIERS,92100,BOULOGNE-BILLANCOURT,92,12,AR,11,Appartement,26,2
02/01/2018 00:00,210000,52,RUE,7165,PERTHUIS,92140,CLAMART,92,23,T,58,Appartement,36,2
